Macro_Region,Region ID,Country,State/Province,Region Type,Region Display Name,County Name,Notes / Description,BCR Number(s),Flagship Species,Priority Flag,Recommended eBird Hotspots,Seasonality Focus / Special Field Notes
Pacific Northwest,BC_SouthernInterior,Canada,British Columbia,Subregion,Southern Interior,North Okanagan,"Grasslands, wetlands, and foothills",BCR 10,"Western Meadowlark, Sandhill Crane",High,Swan Lake Nature Reserve,"Breeding season, migration staging"
Pacific Northwest,BC_SouthernInterior,Canada,British Columbia,Subregion,Southern Interior,Thompson-Nicola,"Dry grasslands, river corridors",BCR 10,"Long-billed Curlew, Burrowing Owl",High,Lac du Bois Grasslands,Breeding season migrants
Pacific Northwest,BC_SouthernInterior,Canada,British Columbia,Subregion,Southern Interior,Kootenay Boundary,Valley wetlands and coniferous forests,BCR 10,"Great Gray Owl, Barrow's Goldeneye",Medium,Christina Lake,"Breeding season, migrants"
Pacific Northwest,BC_SouthernInterior,Canada,British Columbia,Subregion,Southern Interior,Columbia-Shuswap,"Mountain lakes, wetland complexes",BCR 10,"Common Loon, Hooded Merganser",High,Revelstoke Wetlands,"Breeding season, migratory stopover"
Pacific Northwest,BC_NorthernInterior,Canada,British Columbia,Subregion,Northern Interior,Bulkley-Nechako,Boreal forests and river valleys,BCR 4,"Boreal Chickadee, Northern Hawk Owl",Medium,Tyhee Lake Provincial Park,Breeding season specialties
Pacific Northwest,BC_NorthernInterior,Canada,British Columbia,Subregion,Northern Interior,Cariboo,"Interior plateaus, wetlands, and grasslands",BCR 4,"Sandhill Crane, American Bittern",Medium,Scout Island Nature Centre,"Migration stopover, breeding"
Pacific Northwest,BC_NorthernInterior,Canada,British Columbia,Subregion,Northern Interior,Fraser-Fort George,Interior forests and river systems,BCR 4,"Northern Goshawk, Spruce Grouse",Medium,Prince George area,"Year-round residents, breeders"
Pacific Northwest,BC_NorthernInterior,Canada,British Columbia,Subregion,Northern Interior,Peace River,Boreal plains and agricultural matrix,BCR 4,"Sharp-tailed Grouse, LeConte's Sparrow",Medium,Boundary Lake Wildlife Management Area,"Breeding season, migration staging"
Pacific Northwest,BC_NorthernInterior,Canada,British Columbia,Subregion,Northern Interior,Kitimat-Stikine,"Remote coastal-inland transition, river valleys",BCR 4/5,"Black Bear, Harlequin Duck",Medium,Lakelse Lake Provincial Park,"Spring migrants, breeding season"
Pacific Northwest,BC_NorthernInterior,Canada,British Columbia,Subregion,Northern Interior,Stikine Region,Mountainous terrain and river corridors,BCR 4,"Northern Shrike, Golden Eagle",Low,Stikine River Provincial Park,"Migration corridor, breeding raptors"
Pacific Northwest,BC_Rockies,Canada,British Columbia,Subregion,Rocky Mountains,East Kootenay,"Mountain valleys, alpine meadows, wetlands",BCR 10,"American Dipper, White-tailed Ptarmigan",High,Columbia Wetlands,"Breeding season, migration staging"
Pacific Northwest,BC_Rockies,Canada,British Columbia,Subregion,Rocky Mountains,Columbia-Shuswap,"Mountain lakes, wetland complexes",BCR 10,"Common Loon, Hooded Merganser",High,Revelstoke Wetlands,"Breeding season, migratory stopover"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,Whatcom County,"North Cascades, alpine habitats, glacial valleys",BCR 5,"White-tailed Ptarmigan, Gray-crowned Rosy-Finch",High,North Cascades National Park,"Summer breeders, high elevation specialists"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,Skagit County,"Western slopes, montane forests, rivers",BCR 5,"Varied Thrush, Pacific Wren",High,Mount Baker National Forest,"Year-round residents, spring migrants"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,Snohomish County,Montane and foothill forests,BCR 5,"American Dipper, Hermit Thrush",High,Wallace Falls State Park,"Year-round residents, montane breeders"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,King County,"Cascade foothills, alpine lakes",BCR 5,"Townsend's Solitaire, Mountain Chickadee",High,"Mount Rainier NP (partial), Alpine Lakes Wilderness","Summer breeders, montane specialists"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,Pierce County,"Mount Rainier National Park, alpine meadows",BCR 5,"White-tailed Ptarmigan, Clark's Nutcracker",High,Mount Rainier NP,"Alpine breeders, montane residents"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,Lewis County,Southern Cascade slopes and river valleys,BCR 5,"Northern Pygmy-Owl, Red-breasted Sapsucker",Medium,Gifford Pinchot National Forest,"Year-round residents, breeders"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,Yakima County,"East slope, arid transition forests",BCR 9,"Williamson's Sapsucker, Dusky Flycatcher",High,White Pass Scenic Byway,"Breeding season, migrants"
Pacific Northwest,WA_Cascades,USA,Washington,Subregion,Cascade Range,Kittitas County,East slope forests and river corridors,BCR 9,"Cassin's Finch, Pine Siskin",High,"Cle Elum area, Kachess Lake","Breeding season, year-round residents"
Pacific Northwest,WA_Coast,USA,Washington,Subregion,Pacific Coast & Olympic Peninsula,Clallam County,"Outer coast, rainforest valleys",BCR 5,"Black Oystercatcher, Marbled Murrelet",High,Dungeness National Wildlife Refuge,"Coastal migrants, year-round residents"
Pacific Northwest,WA_Coast,USA,Washington,Subregion,Pacific Coast & Olympic Peninsula,Jefferson County,"Olympic NP, temperate rainforest",BCR 5,"Northern Spotted Owl, Pacific-slope Flycatcher",High,Hoh Rainforest,"Breeding season, year-round residents"
Pacific Northwest,WA_Coast,USA,Washington,Subregion,Pacific Coast & Olympic Peninsula,Grays Harbor County,"Coastal estuaries, shorebird stopover",BCR 5,"Western Sandpiper, Dunlin",High,Grays Harbor NWR,Peak shorebird migration
Pacific Northwest,WA_Coast,USA,Washington,Subregion,Pacific Coast & Olympic Peninsula,Pacific County,"Coastal dunes, estuarine wetlands",BCR 5,"Snowy Plover, Brown Pelican",Medium,Willapa National Wildlife Refuge,"Breeding season, migration staging"
Pacific Northwest,WA_PugetLowlands,USA,Washington,Subregion,Puget Lowlands,Island County,Estuaries and marine environments,BCR 5,"Pigeon Guillemot, Rhinoceros Auklet",High,Deception Pass State Park,"Year-round residents, seabirds"
Pacific Northwest,WA_PugetLowlands,USA,Washington,Subregion,Puget Lowlands,San Juan County,"San Juan Islands, marine habitats",BCR 5,"Harlequin Duck, Black Oystercatcher",High,San Juan Island NWR,"Year-round residents, seabirds"
Pacific Northwest,WA_PugetLowlands,USA,Washington,Subregion,Puget Lowlands,Whatcom County,"Salish Sea interface, estuaries",BCR 5,"Trumpeter Swan, Snow Goose",High,Lummi Flats,Winter waterfowl concentrations
Pacific Northwest,WA_PugetLowlands,USA,Washington,Subregion,Puget Lowlands,Skagit County,Farmland and estuary interfaces,BCR 5,"Snow Goose, Short-eared Owl",High,Skagit Wildlife Area,Wintering raptors and waterfowl
Pacific Northwest,WA_Eastern,USA,Washington,Subregion,Columbia Plateau & Palouse,Spokane County,"Palouse hills, arid steppe",BCR 9,"Western Meadowlark, Horned Lark",High,Turnbull National Wildlife Refuge,Breeding season specialties
Pacific Northwest,WA_Eastern,USA,Washington,Subregion,Columbia Plateau & Palouse,Whitman County,"Palouse prairie, agricultural lands",BCR 9,"Vesper Sparrow, Long-billed Curlew",High,Steptoe Butte State Park,"Breeding season, grassland specialists"
Pacific Northwest,WA_Eastern,USA,Washington,Subregion,Columbia Plateau & Palouse,Adams County,Shrub-steppe and desert basins,BCR 9,"Burrowing Owl, Loggerhead Shrike",High,Columbia National Wildlife Refuge,"Breeding season, arid habitat specialists"
Pacific Northwest,WA_Eastern,USA,Washington,Subregion,Columbia Plateau & Palouse,Grant County,"Sagebrush habitat, wetlands",BCR 9,"Sage Thrasher, American Avocet",High,Potholes Reservoir,"Breeding season, migrants"
Pacific Northwest,WA_OkanoganHighlands,USA,Washington,Subregion,Okanogan Highlands,Okanogan County,"Montane forests, meadows",BCR 10,"Northern Goshawk, Williamson's Sapsucker",High,Highlands Sno-Park area,Breeding season specialties
Pacific Northwest,WA_BlueMountains,USA,Washington,Subregion,Blue Mountains,Asotin County,"Montane grasslands, dry forests",BCR 10,"Gray Flycatcher, Mountain Bluebird",Medium,Asotin Creek Wildlife Area,"Breeding season, year-round residents"
Pacific Northwest,WA_BlueMountains,USA,Washington,Subregion,Blue Mountains,Garfield County,"Forest-steppe ecotone, dry ridges",BCR 10,"Green-tailed Towhee, Dusky Flycatcher",Medium,Umatilla National Forest (partial),"Breeding season, montane migrants"
Pacific Northwest,WA_BlueMountains,USA,Washington,Subregion,Blue Mountains,Columbia County,Forest and meadow mosaic,BCR 10,"Western Tanager, Calliope Hummingbird",Medium,Bluewood Ski Area vicinity,"Breeding season, montane residents"
Pacific Northwest,OR_Cascades,USA,Oregon,Subregion,Cascade Range,Clackamas County,"Western Cascades, coniferous forests",BCR 5,"Hermit Warbler, Sooty Grouse",High,Mount Hood National Forest,"Breeding season, montane specialists"
Pacific Northwest,OR_Cascades,USA,Oregon,Subregion,Cascade Range,Lane County,High Cascade peaks and forested valleys,BCR 5,"White-headed Woodpecker, Varied Thrush",High,Three Sisters Wilderness,"Summer breeders, montane residents"
Pacific Northwest,OR_Cascades,USA,Oregon,Subregion,Cascade Range,Linn County,"Cascade foothills, alpine lakes",BCR 5,"Northern Pygmy-Owl, Townsend's Solitaire",High,Santiam Pass,"Breeding season, montane migrants"
Pacific Northwest,OR_Cascades,USA,Oregon,Subregion,Cascade Range,Douglas County,Southern Cascade transition zone,BCR 5,"Mountain Quail, Hammond's Flycatcher",Medium,Diamond Lake,"Summer breeders, transition zone specialties"
Pacific Northwest,OR_Cascades,USA,Oregon,Subregion,Cascade Range,Deschutes County,"Eastern slope forests, volcanic landscapes",BCR 9,"Clark's Nutcracker, Williamson's Sapsucker",High,Newberry National Volcanic Monument,"Breeding season, montane residents"
Pacific Northwest,OR_Coast,USA,Oregon,Subregion,Pacific Coast,Clatsop County,"Rocky headlands, coastal forests",BCR 5,"Tufted Puffin, Black Oystercatcher",High,Ecola State Park,"Coastal migrants, breeding seabirds"
Pacific Northwest,OR_Coast,USA,Oregon,Subregion,Pacific Coast,Tillamook County,Coastal estuaries and beaches,BCR 5,"Western Gull, Brown Pelican",High,Netarts Bay,"Year-round residents, migration staging"
Pacific Northwest,OR_Coast,USA,Oregon,Subregion,Pacific Coast,Lincoln County,"Coastal headlands, bays, and forests",BCR 5,"Pelagic Cormorant, Pigeon Guillemot",High,Yaquina Head Outstanding Natural Area,"Breeding season, year-round residents"
Pacific Northwest,OR_Coast,USA,Oregon,Subregion,Pacific Coast,Coos County,"Coastal dunes, estuarine habitats",BCR 5,"Snowy Plover, Brant",High,Coos Bay estuary,"Winter waterfowl, coastal breeders"
Pacific Northwest,OR_Coast,USA,Oregon,Subregion,Pacific Coast,Curry County,"Remote coastal cliffs, fog forests",BCR 5,"Marbled Murrelet, Pacific Wren",Medium,Cape Blanco State Park,"Breeding season, coastal specialists"
Pacific Northwest,OR_WillametteValley,USA,Oregon,Subregion,Willamette Valley,Multnomah County,"Urban interface, river corridors",BCR 5,"Anna's Hummingbird, Wood Duck",High,Sauvie Island Wildlife Area,"Year-round residents, waterfowl concentrations"
Pacific Northwest,OR_WillametteValley,USA,Oregon,Subregion,Willamette Valley,Washington County,"Suburban woodlands, riparian zones",BCR 5,"Black-capped Chickadee, Western Scrub-Jay",High,Tualatin River NWR,"Year-round residents, migrants"
Pacific Northwest,OR_WillametteValley,USA,Oregon,Subregion,Willamette Valley,Marion County,"Agricultural lands, wetlands",BCR 5,"Western Meadowlark, American Kestrel",High,Ankeny National Wildlife Refuge,"Wintering waterfowl, breeding migrants"
Pacific Northwest,OR_WillametteValley,USA,Oregon,Subregion,Willamette Valley,Linn County,"Grass seed fields, riparian forests",BCR 5,"Savannah Sparrow, Red-winged Blackbird",High,Finley NWR,"Breeding season, migration staging"
Pacific Northwest,OR_WillametteValley,USA,Oregon,Subregion,Willamette Valley,Benton County,"Oak savanna, wetland preserves",BCR 5,"Acorn Woodpecker, Oregon Vesper Sparrow",High,Baskett Slough NWR,Breeding season specialties
Pacific Northwest,OR_Eastern,USA,Oregon,Subregion,Eastern Oregon Desert & Basin,Harney County,"High desert wetlands, sagebrush flats",BCR 9,"Sandhill Crane, Sage Thrasher",High,Malheur National Wildlife Refuge,Spring and fall migration peak
Pacific Northwest,OR_Eastern,USA,Oregon,Subregion,Eastern Oregon Desert & Basin,Lake County,Great Basin desert basins and playas,BCR 9,"American Avocet, Sagebrush Sparrow",High,Summer Lake Wildlife Area,"Breeding season, migration staging"
Pacific Northwest,OR_Eastern,USA,Oregon,Subregion,Eastern Oregon Desert & Basin,Malheur County,Sagebrush steppe and arid basins,BCR 9,"Ferruginous Hawk, Brewer's Sparrow",High,Malheur River Corridor,"Breeding season, desert specialties"
Pacific Northwest,OR_BlueMountains,USA,Oregon,Subregion,Blue Mountains,Union County,Forest and meadow mosaics,BCR 10,"Gray Jay, MacGillivray's Warbler",Medium,Mount Emily Recreation Area,"Breeding season, montane residents"
Pacific Northwest,OR_BlueMountains,USA,Oregon,Subregion,Blue Mountains,Wallowa County,"Montane meadows, alpine habitats",BCR 10,"Gray-crowned Rosy-Finch, American Three-toed Woodpecker",Medium,Wallowa Lake State Park,"Breeding season, alpine breeders"
Pacific Northwest,OR_Klamath,USA,Oregon,Subregion,Klamath Basin,Klamath County,"High desert wetlands, coniferous uplands",BCR 9,"Eared Grebe, Yellow-headed Blackbird",High,Upper Klamath NWR,"Migration hotspot, breeding season"
Pacific Northwest,OR_Klamath,USA,Oregon,Subregion,Klamath Basin,Jackson County,Foothills and oak woodlands,BCR 9,"Oak Titmouse, California Towhee",Medium,Table Rocks Area,"Breeding season, year-round residents"
Pacific Northwest,OR_Klamath,USA,Oregon,Subregion,Klamath Basin,Josephine County,"Coniferous forests, riparian corridors",BCR 9,"Chestnut-backed Chickadee, Pacific-slope Flycatcher",Medium,Illinois River,"Breeding season, migrants"
Pacific Northwest,ID_NorthernRockies,USA,Idaho,Subregion,Northern Rockies,Benewah County,Foothills and lowland forest,BCR 10,"Western Tanager, Red-naped Sapsucker",Medium,Heyburn State Park,"Breeding season, year-round residents"
Pacific Northwest,ID_NorthernRockies,USA,Idaho,Subregion,Northern Rockies,Bonner County,"Glaciated valleys, montane forests",BCR 10,"Varied Thrush, Black-backed Woodpecker",High,Pend Oreille Wildlife Management Area,"Breeding season, montane specialists"
Pacific Northwest,ID_NorthernRockies,USA,Idaho,Subregion,Northern Rockies,Boundary County,"Northernmost county, boreal forests",BCR 10,"Boreal Chickadee, Spruce Grouse",High,Kootenai NWR,"Breeding season, year-round residents"
Pacific Northwest,ID_NorthernRockies,USA,Idaho,Subregion,Northern Rockies,Kootenai County,"Forest lakes, coniferous uplands",BCR 10,"Common Loon, Northern Pygmy-Owl",High,Coeur d'Alene Lake,"Breeding season, year-round residents"
Pacific Northwest,ID_NorthernRockies,USA,Idaho,Subregion,Northern Rockies,Latah County,"Palouse Hills, foothill forests",BCR 10,"Vesper Sparrow, Western Meadowlark",High,Idler's Rest Nature Preserve,"Breeding season, grassland specialists"
Pacific Northwest,ID_NorthernRockies,USA,Idaho,Subregion,Northern Rockies,Shoshone County,Montane forests and river valleys,BCR 10,"Townsend's Warbler, American Dipper",High,St. Joe River,"Breeding season, montane migrants"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Adams County,"Forest uplands, Salmon River corridor",BCR 10,"MacGillivray's Warbler, Northern Goshawk",Medium,Payette National Forest,"Breeding season, montane residents"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Blaine County,"Sawtooth Mountains, alpine lakes",BCR 10,"Gray-crowned Rosy-Finch, Mountain Bluebird",High,Sawtooth National Recreation Area,"Breeding season, montane specialists"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Boise County,"Montane woodlands, riparian corridors",BCR 10,"American Dipper, Wilson's Warbler",Medium,Boise National Forest,"Breeding season, mountain streams"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Camas County,"High elevation basins, montane meadows",BCR 10,"Sage Thrasher, Long-billed Curlew",Medium,Camas Prairie Centennial Marsh,"Breeding season, wetland specialists"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Custer County,High elevation basins and forests,BCR 10,"Clark's Nutcracker, White-crowned Sparrow",Medium,Lost River Range,"Breeding season, montane residents"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Elmore County,"Sagebrush steppe, wetlands",BCR 9,"Northern Harrier, Sagebrush Sparrow",High,C.J. Strike WMA,"Breeding season, migration staging"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Gem County,"Foothills, riparian corridors",BCR 10,"Yellow Warbler, Northern Flicker",Medium,Black Canyon Reservoir,"Breeding season, riparian migrants"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Lemhi County,"Alpine meadows, riparian corridors",BCR 10,"Yellow Warbler, Brewer's Sparrow",Medium,Lemhi Valley,"Breeding season, montane breeders"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Payette County,"River valleys, agricultural interface",BCR 9,"Western Kingbird, American Avocet",Medium,Fort Boise WMA,"Breeding season, migrants"
Pacific Northwest,ID_CentralMountains,USA,Idaho,Subregion,Central Mountains,Valley County,"Coniferous forests, lake basins",BCR 10,"Common Loon, Northern Goshawk",High,Payette Lake,"Breeding season, year-round residents"
Pacific Northwest,ID_SnakeRiverPlain,USA,Idaho,Subregion,Snake River Plain,Ada County,"Urban interface, river corridors",BCR 9,"Yellow Warbler, Bald Eagle",High,Boise River Greenbelt,"Year-round residents, migrants"
Pacific Northwest,ID_SnakeRiverPlain,USA,Idaho,Subregion,Snake River Plain,Canyon County,Agricultural lands and wetlands,BCR 9,"Western Meadowlark, Short-eared Owl",High,Deer Flat NWR,"Wintering waterfowl, breeding migrants"
Pacific Northwest,ID_SnakeRiverPlain,USA,Idaho,Subregion,Snake River Plain,Gooding County,"High desert plains, irrigation systems",BCR 9,"Horned Lark, Long-billed Curlew",Medium,Gooding County WMA,"Breeding season, migrants"
Pacific Northwest,ID_SnakeRiverPlain,USA,Idaho,Subregion,Snake River Plain,Jerome County,"Irrigated agriculture, desert interface",BCR 9,"American Kestrel, Horned Lark",Medium,Thousand Springs State Park,"Year-round residents, breeding season"
Pacific Northwest,ID_SnakeRiverPlain,USA,Idaho,Subregion,Snake River Plain,Lincoln County,Shrub-steppe and agriculture mix,BCR 9,"Loggerhead Shrike, Vesper Sparrow",Medium,Magic Valley WMA,"Breeding season, steppe specialists"
Pacific Northwest,ID_SnakeRiverPlain,USA,Idaho,Subregion,Snake River Plain,Minidoka County,"Agricultural lands, wetlands",BCR 9,"Franklin's Gull, American Avocet",Medium,Minidoka NWR,"Breeding season, migration staging"
Pacific Northwest,ID_SnakeRiverPlain,USA,Idaho,Subregion,Snake River Plain,Twin Falls County,"Canyon habitats, desert edges",BCR 9,"Prairie Falcon, Canyon Wren",High,Perrine Bridge area,"Year-round residents, migration staging"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Bannock County,"Sagebrush plains, foothills",BCR 9,"Ferruginous Hawk, Brewer's Sparrow",High,Cambridge WMA,"Breeding season, steppe specialists"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Bear Lake County,Mountain meadows and wetlands,BCR 9,"Sandhill Crane, Yellow-headed Blackbird",Medium,Bear Lake NWR,"Breeding season, migrants"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Bingham County,Wetlands and agricultural matrix,BCR 9,"Sandhill Crane, Wilson's Phalarope",High,Market Lake WMA,"Breeding season, migratory stopover"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Bonneville County,"River corridors, sagebrush flats",BCR 9,"Long-billed Curlew, Sage Thrasher",High,Idaho Falls area,"Breeding season, migrants"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Butte County,"Arid basins, desert springs",BCR 9,"Sagebrush Sparrow, Horned Lark",Medium,Craters of the Moon NM,"Breeding season, desert specialists"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Caribou County,Foothills and agricultural basins,BCR 9,"Savannah Sparrow, Brewer's Sparrow",Medium,Caribou NWR,"Breeding season, migrants"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Clark County,High elevation sagebrush plains,BCR 9,"Sage Thrasher, Brewer's Sparrow",Medium,Cambridge WMA,"Breeding season, sagebrush specialists"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Fremont County,"Montane meadows, forest edges",BCR 10,"Ruffed Grouse, Western Tanager",Medium,Henry's Fork,"Breeding season, year-round residents"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Jefferson County,"Agricultural landscapes, wetlands",BCR 9,"American Avocet, Franklin's Gull",Medium,Market Lake WMA,"Breeding season, migration staging"
Pacific Northwest,ID_EasternPlains,USA,Idaho,Subregion,Eastern Plains & Sagebrush Steppe,Madison County,Farmland and riparian corridors,BCR 9,"Yellow Warbler, Red-winged Blackbird",Medium,Beaver Dick Park,"Breeding season, migrants"